experiment,phase,condition_label,policy_label,n_rounds,n_seeds,logical_proxy_mean,logical_proxy_std
expr4,phaseA_showcase,p001_f1e2_g01,trained_on_composite,5,3,0.8958333333333334,0.011618859568733559
expr4,phaseA_showcase,p001_f1e2_g01,trained_on_composite,10,3,0.7646484375,0.03383851300759394
expr4,phaseA_showcase,p001_f1e2_g01,trained_on_composite,15,3,0.6490885416666666,0.05373953626245758
expr4,phaseA_showcase,p001_f1e2_g01,trained_on_composite,20,3,0.5250651041666666,0.03696632699629789
expr4,phaseA_showcase,p001_f1e2_g01,trained_on_composite,25,3,0.4358723958333333,0.05953205596476148
expr4,phaseA_showcase,p001_f1e2_g01,trained_on_composite,30,3,0.3694661458333333,0.04237526134409125
expr4,phaseA_showcase,p001_f1e2_g01,trained_on_composite,35,3,0.3024088541666667,0.03640306916391737
expr4,phaseA_showcase,p001_f1e2_g01,trained_on_composite,40,3,0.23828125,0.03107658589807975
expr4,phaseA_showcase,p001_f1e2_g01,trained_on_composite,45,3,0.203125,0.028538357805082924
expr4,phaseA_showcase,p001_f1e2_g01,trained_on_composite,50,3,0.15592447916666666,0.017764015168805016
expr4,phaseA_showcase,p001_f1e2_g01,trained_on_full_composite,5,3,0.8076171875,0.019153243077286004
expr4,phaseA_showcase,p001_f1e2_g01,trained_on_full_composite,10,3,0.6793619791666666,0.02094999076784386
expr4,phaseA_showcase,p001_f1e2_g01,trained_on_full_composite,15,3,0.52734375,0.01592725237333993
expr4,phaseA_showcase,p001_f1e2_g01,trained_on_full_composite,20,3,0.3994140625,0.042879879687695605
expr4,phaseA_showcase,p001_f1e2_g01,trained_on_full_composite,25,3,0.3151041666666667,0.018891429854878787
expr4,phaseA_showcase,p001_f1e2_g01,trained_on_full_composite,30,3,0.24381510416666666,0.02774002901092408
expr4,phaseA_showcase,p001_f1e2_g01,trained_on_full_composite,35,3,0.21061197916666666,0.0030187560206691743
expr4,phaseA_showcase,p001_f1e2_g01,trained_on_full_composite,40,3,0.15787760416666666,0.028664322868165774
expr4,phaseA_showcase,p001_f1e2_g01,trained_on_full_composite,45,3,0.12467447916666667,0.023237719137467118
expr4,phaseA_showcase,p001_f1e2_g01,trained_on_full_composite,50,3,0.11328125,0.015275219019075607
expr4,phaseB_focused,p001_f1e2_g16,trained_on_composite,5,10,0.8740234375,0.01592725237333993
expr4,phaseB_focused,p001_f1e2_g16,trained_on_composite,10,10,0.7484375,0.03246302922713101
expr4,phaseB_focused,p001_f1e2_g16,trained_on_composite,15,10,0.6154296875,0.04576484881127381
expr4,phaseB_focused,p001_f1e2_g16,trained_on_composite,20,10,0.50927734375,0.04330314220277541
expr4,phaseB_focused,p001_f1e2_g16,trained_on_composite,25,10,0.42734375,0.03649052243444951
expr4,phaseB_focused,p001_f1e2_g16,trained_on_composite,30,10,0.34404296875,0.040908644895337846
expr4,phaseB_focused,p001_f1e2_g16,trained_on_composite,35,10,0.26787109375,0.04252489594946347
expr4,phaseB_focused,p001_f1e2_g16,trained_on_composite,40,10,0.212890625,0.03505029606714516
expr4,phaseB_focused,p001_f1e2_g16,trained_on_composite,45,10,0.1712890625,0.025316146776270202
expr4,phaseB_focused,p001_f1e2_g16,trained_on_composite,50,10,0.13310546875,0.026138512142365747
expr4,phaseB_focused,p001_f1e2_g16,trained_on_full_composite,5,10,0.787109375,0.02173592087645831
expr4,phaseB_focused,p001_f1e2_g16,trained_on_full_composite,10,10,0.6375,0.031471383796186574
expr4,phaseB_focused,p001_f1e2_g16,trained_on_full_composite,15,10,0.496875,0.03742617652078347
expr4,phaseB_focused,p001_f1e2_g16,trained_on_full_composite,20,10,0.394921875,0.042684160540359194
expr4,phaseB_focused,p001_f1e2_g16,trained_on_full_composite,25,10,0.3056640625,0.04657701509286461
expr4,phaseB_focused,p001_f1e2_g16,trained_on_full_composite,30,10,0.2443359375,0.039508682262524186
expr4,phaseB_focused,p001_f1e2_g16,trained_on_full_composite,35,10,0.1880859375,0.033372728591948765
expr4,phaseB_focused,p001_f1e2_g16,trained_on_full_composite,40,10,0.12744140625,0.04041423410128125
expr4,phaseB_focused,p001_f1e2_g16,trained_on_full_composite,45,10,0.11103515625,0.027573151828948147
expr4,phaseB_focused,p001_f1e2_g16,trained_on_full_composite,50,10,0.0759765625,0.02555834031711811
expr4,phaseC_confirm,p001_f1e2_g16,trained_on_composite,5,20,0.86884765625,0.021415683867271895
expr4,phaseC_confirm,p001_f1e2_g16,trained_on_composite,10,20,0.735888671875,0.02903278595605101
expr4,phaseC_confirm,p001_f1e2_g16,trained_on_composite,15,20,0.600244140625,0.03805120987842134
expr4,phaseC_confirm,p001_f1e2_g16,trained_on_composite,20,20,0.493798828125,0.052349830388156
expr4,phaseC_confirm,p001_f1e2_g16,trained_on_composite,25,20,0.394873046875,0.04926975574350019
expr4,phaseC_confirm,p001_f1e2_g16,trained_on_composite,30,20,0.316162109375,0.05090586703948522
expr4,phaseC_confirm,p001_f1e2_g16,trained_on_composite,35,20,0.24892578125,0.05834983410652329
expr4,phaseC_confirm,p001_f1e2_g16,trained_on_composite,40,20,0.20048828125,0.042218797165557015
expr4,phaseC_confirm,p001_f1e2_g16,trained_on_composite,45,20,0.163671875,0.03816148356818692
expr4,phaseC_confirm,p001_f1e2_g16,trained_on_composite,50,20,0.1166015625,0.04167691422650385
expr4,phaseC_confirm,p001_f1e2_g16,trained_on_full_composite,5,20,0.792138671875,0.02477328497900759
expr4,phaseC_confirm,p001_f1e2_g16,trained_on_full_composite,10,20,0.634521484375,0.04948857535870209
expr4,phaseC_confirm,p001_f1e2_g16,trained_on_full_composite,15,20,0.499072265625,0.043135413419122616
expr4,phaseC_confirm,p001_f1e2_g16,trained_on_full_composite,20,20,0.397705078125,0.05822628507723349
expr4,phaseC_confirm,p001_f1e2_g16,trained_on_full_composite,25,20,0.310546875,0.056797835435053526
expr4,phaseC_confirm,p001_f1e2_g16,trained_on_full_composite,30,20,0.24033203125,0.05784507040189168
expr4,phaseC_confirm,p001_f1e2_g16,trained_on_full_composite,35,20,0.18935546875,0.05181848963960908
expr4,phaseC_confirm,p001_f1e2_g16,trained_on_full_composite,40,20,0.146337890625,0.05883274419920037
expr4,phaseC_confirm,p001_f1e2_g16,trained_on_full_composite,45,20,0.111376953125,0.039346471472703815
expr4,phaseC_confirm,p001_f1e2_g16,trained_on_full_composite,50,20,0.078515625,0.04778714573614354
